repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,liveness,unique-contributors,new-commits-last-30d,tag
ether/etherpad,18274,85,46,30,4,4.651,0,0,5509,314,TypeScript,false,100.000,6,171,Office Suites
evcc-io/evcc,6487,198,92,55,7,30.523,0,0,2332,554,Go,false,100.000,51,189,Internet of Things (IoT)
ever-co/ever-gauzy,3657,64,26,10,2,17.501,0,10,2520,89,TypeScript,false,70.000,6,26,Time Tracking
evergreen-library-system/Evergreen,151,0,0,0,0,0.000,41,1,5458,126,PLpgSQL,false,50.000,18,75,Document Management
evershopcommerce/evershop,10032,119,43,19,3,11.862,0,11,1816,42,TypeScript,false,80.000,2,56,E-commerce
jonashellmann/everydocs-core,349,9,1,1,0,25.788,4,0,2527,2,Ruby,false,68.000,2,14,Document Management
evidence-dev/evidence,6205,122,58,35,5,19.662,0,66,1795,65,JavaScript,false,60.000,0,0,Database Management
tanq16/expenseowl,1416,22,11,8,1,15.537,0,205,529,8,HTML,false,35.000,0,0,"Money, Budgeting & Management"
thomas4019/expressa,449,0,0,0,0,0.000,41,20,3643,7,JavaScript,false,10.000,1,1,Content Management Systems (CMS)
mayswind/ezbookkeeping,4693,172,74,41,6,36.650,0,0,2017,26,Go,false,100.000,3,72,"Money, Budgeting & Management"
nymanjens/facto,350,3,0,0,0,8.571,14,77,4058,4,Scala,false,4.000,0,0,"Money, Budgeting & Management"
farmOS/farmOS,1267,21,7,4,1,16.575,0,2,4463,39,PHP,false,81.000,1,13,Resource Planning
fastenhealth/fasten-onprem,2702,37,13,8,5,13.694,0,72,1342,30,Go,false,35.000,0,0,Health and Fitness
beancount/fava,2445,22,14,6,2,8.998,0,10,3795,113,Python,false,55.000,1,1,"Money, Budgeting & Management"
featbit/featbit,1795,18,6,2,0,10.028,3,1,1336,35,C#,false,63.000,2,8,Software Development
fcrepo/fcrepo,249,4,4,3,0,16.064,2,10,4829,63,Java,false,34.000,3,7,Document Management
Qolors/FeedCord,306,7,4,2,0,22.876,1,298,924,4,C#,false,12.000,0,0,Feed Readers
cristoper/feedmixer,226,1,1,0,0,4.425,9,232,3299,1,Python,false,5.000,0,0,Automation
ncarlier/feedpushr,389,2,0,0,0,5.141,19,358,2975,6,Go,false,4.000,0,0,Feed Readers
Tiendil/feeds.fun,361,9,3,0,0,24.931,8,9,1123,1,Python,false,29.000,1,4,Feed Readers
codelibs/fess,1108,9,4,2,0,8.123,2,4,4608,39,Java,false,52.000,1,27,Search Engines
getfider/fider,4243,69,38,26,4,16.262,0,2,3385,61,Go,false,100.000,4,60,Polls and Events
filebrowser/filebrowser,34466,512,217,111,14,14.855,0,8,3879,230,Go,false,92.000,10,33,File Transfer
filegator/filegator,2940,22,6,3,0,7.483,1,7,2508,47,PHP,false,47.000,2,7,File Transfer
error311/FileRise,947,22,11,7,1,23.231,0,9,429,4,JavaScript,false,57.000,2,3,File Transfer
axeloz/filesharing,275,0,0,0,0,0.000,40,248,3202,4,PHP,false,0.000,0,0,File Transfer
mickael-kerjean/filestash,14106,210,111,29,3,14.887,0,2,3239,73,Go,false,100.000,1,48,File Transfer
firefly-iii/firefly-iii,23071,331,146,58,5,14.347,0,7,4320,178,PHP,false,90.000,3,116,"Money, Budgeting & Management"
mozilla/fxa,672,3,2,2,0,4.464,1,1,3979,213,TypeScript,false,62.000,18,291,Bookmarks and Link Sharing
firezone/firezone,8585,61,30,13,1,7.105,0,0,2195,51,Elixir,false,100.000,6,183,Remote Access
SamR1/FitTrackee,1112,25,13,11,2,22.482,0,3,3310,64,Python,false,75.000,3,67,Health and Fitness
flagsmith/flagsmith,6318,52,25,14,4,8.230,0,1,2881,121,Python,false,90.000,20,154,Software Development
FlintSH/Flare,116,7,5,3,0,60.345,1,1,433,7,TypeScript,false,58.000,1,14,File Transfer
flarum/flarum,16252,57,26,12,0,3.507,1,7,4134,33,PHP,false,50.000,1,1,Communication
dullage/flatnotes,3002,121,58,31,1,40.306,0,67,1726,15,Vue,false,60.000,0,0,Note-taking & Editors
flatpressblog/flatpress,210,2,1,1,0,9.524,3,0,4605,15,PHP,false,72.000,1,83,Blogging Platforms
BelledonneCommunications/flexisip,181,2,1,1,0,11.050,3,1,3988,26,C++,false,62.000,4,28,Communication
flipt-io/flipt,4781,33,20,9,2,6.902,0,1,3459,74,Go,false,85.000,3,62,Software Development
FlowFuse/flowfuse,382,4,2,0,0,10.471,11,1,1761,42,JavaScript,false,57.000,11,271,Internet of Things (IoT)
fluidd-core/fluidd,1726,10,4,3,0,5.794,1,2,2048,139,Vue,false,62.000,3,22,Manufacturing
flyimg/flyimg,1203,6,2,0,0,4.988,12,29,3701,19,PHP,false,19.000,2,2,Miscellaneous
mattermost-community/focalboard,26091,146,88,38,5,5.596,0,318,2027,269,TypeScript,false,60.000,0,0,Task Management & To-do Lists
foodcoopshop/foodcoopshop,116,1,1,0,0,8.621,9,1,3530,19,PHP,false,51.000,1,14,Community-Supported Agriculture (CSA)
foodcoops/foodsoft,351,2,1,0,0,5.698,13,11,6317,46,Ruby,false,29.000,2,5,Community-Supported Agriculture (CSA)
mikebgrep/fork.recipes,65,2,1,1,0,30.769,1,2,520,1,HTML,false,54.000,2,4,Recipe Management
formbricks/formbricks,12138,155,96,59,3,12.770,0,1,1420,315,TypeScript,false,100.000,18,77,Polls and Events
forwardemail/forwardemail.net,1565,25,8,4,0,15.974,2,4,2321,41,JavaScript,false,65.000,4,106,Communication
FOSSBilling/FOSSBilling,1538,30,14,8,1,19.506,0,0,1439,101,PHP,false,95.000,6,99,"Money, Budgeting & Management"
frappe/helpdesk,3086,49,28,14,3,15.878,0,1,1648,146,Vue,false,90.000,4,156,Ticketing
frappe/hrms,7803,147,77,48,6,18.839,0,0,1417,280,Python,false,100.000,12,334,Human Resources Management (HRM)
orangecoding/fredy,610,38,15,11,0,62.295,2,3,3023,38,HTML,false,61.000,5,19,Automation
freescout-help-desk/freescout,4217,62,32,18,4,14.702,0,1,2864,86,PHP,false,100.000,1,109,Ticketing
signalwire/freeswitch,4817,132,36,14,4,27.403,0,23,2740,150,C,false,60.000,1,1,Communication
FreshRSS/FreshRSS,14862,347,151,68,13,23.348,0,0,4934,370,PHP,false,100.000,15,50,Feed Readers
friendica/friendica,1666,17,5,1,0,10.204,3,0,5284,13,PHP,false,76.000,7,131,Communication
blakeblackshear/frigate,31591,539,242,134,18,17.062,0,0,2646,697,TypeScript,false,100.000,12,118,Video Surveillance
apioo/fusio,2085,12,3,2,0,5.755,3,7,3923,3,PHP,false,38.000,1,10,Software Development
0x2E/fusion,2059,35,17,7,1,16.999,0,53,781,15,TypeScript,false,41.000,0,0,Feed Readers
fusionpbx/fusionpbx,997,9,5,2,0,9.027,3,0,3952,213,PHP,false,72.000,8,103,Communication
rikhuijzer/fx,302,9,4,3,0,29.801,5,13,378,5,Rust,false,38.000,2,12,Blogging Platforms
jech/galene,1292,17,13,8,4,13.158,0,18,1953,24,Go,false,43.000,1,5,Communication
galette/galette,68,1,0,0,0,14.706,27,1,4849,130,PHP,false,52.000,8,79,"Money, Budgeting & Management"
Phalcode/gamevault-backend,314,4,3,2,0,12.739,2,69,1030,4,TypeScript,false,12.000,0,0,Games
gameyfin/gameyfin,996,29,11,5,0,29.116,3,43,1391,7,Kotlin,false,31.000,0,0,Games
Zibbp/ganymede,943,14,5,2,0,14.846,3,4,1403,19,Go,false,56.000,2,62,Archiving and Digital Preservation (DP)
gaseous-project/gaseous-server,874,24,15,8,0,27.460,1,5,1166,4,C#,false,61.000,2,13,Games
lowercasename/gathio,446,9,5,3,0,20.179,2,46,2466,30,JavaScript,false,18.000,0,0,Polls and Events
genea-app/genea-app,263,4,2,1,0,15.209,4,134,1846,1,JavaScript,false,12.000,0,0,Genealogy
MGeurts/genealogy,331,11,6,1,0,33.233,4,5,829,12,PHP,false,61.000,2,22,Genealogy
geneweb/geneweb,373,3,1,0,0,8.043,9,2,4548,39,OCaml,false,57.000,6,164,Genealogy
noandrea/geo2tz,94,1,0,0,0,10.638,24,67,2181,3,Go,false,2.000,0,0,Maps and Global Positioning System (GPS)
gerbera/gerbera,1358,7,5,3,0,5.155,2,3,4277,98,C++,false,48.000,4,13,Media Streaming
GerritCodeReview/gerrit,1172,11,8,2,0,9.386,1,1,3790,370,Java,false,71.000,22,236,Software Development
TryGhost/Ghost,52674,616,247,136,21,11.695,0,0,4739,711,JavaScript,false,100.000,31,445,Blogging Platforms
ghostfolio/ghostfolio,8261,283,159,104,18,34.257,0,0,1838,280,TypeScript,false,100.000,10,87,"Money, Budgeting & Management"
GibbonEdu/core,600,8,3,3,0,13.333,3,2,4609,50,PHP,false,58.000,6,16,Learning and Courses
gitbucket/gitbucket,9371,15,9,4,2,1.601,0,2,4763,178,Scala,false,77.000,3,11,Software Development
go-gitea/gitea,55110,717,322,166,17,13.010,0,0,3463,1582,Go,false,100.000,29,187,Software Development
BreizhHardware/ntfy_alerts,58,2,1,1,0,34.483,1,314,786,2,Rust,false,12.000,0,0,Automation
jgm/gitit,2261,7,4,1,0,3.096,4,55,6379,60,Haskell,false,18.000,0,0,Wikis
GladysAssistant/Gladys,3049,16,9,6,0,5.248,2,0,3977,59,JavaScript,false,73.000,2,10,Internet of Things (IoT)
glanceapp/glance,33757,1037,497,217,19,30.720,0,137,728,71,Go,false,62.000,0,0,Personal Dashboards
globaleaks/globaleaks-whistleblowing-software,1470,32,10,3,0,21.769,1,0,4986,52,Python,false,85.000,1,26,Communication
glowing-bear/glowing-bear,972,4,1,0,0,4.115,12,230,4815,77,JavaScript,false,7.000,0,0,Communication
yusing/godoxy,2961,45,25,12,1,15.198,0,1,787,9,Go,false,90.000,1,52,Web Servers
thomaspoignant/go-feature-flag,2002,29,15,8,0,14.486,1,1,1961,94,Go,false,75.000,3,101,Software Development
allinurl/goaccess,20453,116,50,29,3,5.672,0,2,4669,162,C,false,96.000,3,18,Analytics
arp242/goatcounter,5656,80,40,23,2,14.144,0,0,2525,56,Go,false,100.000,1,10,Analytics
arran4/gobookmarks,12,1,1,1,0,83.333,6,4,942,1,Go,false,50.000,3,55,Personal Dashboards
flohoss/gocron,538,7,3,3,0,13.011,3,4,425,4,Go,false,44.000,2,8,Automation
yusing/godoxy,2961,45,25,12,1,15.198,0,1,787,9,Go,false,90.000,1,52,Web Servers
gogs/gogs,47496,143,81,47,5,3.011,0,2,4456,502,Go,false,100.000,1,4,Software Development
Forceu/gokapi,2700,51,23,12,2,18.889,0,2,1871,18,Go,false,82.000,1,7,File Transfer
gollum/gollum,14257,25,8,3,1,1.754,0,237,5871,195,Ruby,false,35.000,0,0,Wikis
sentriz/gonic,2359,30,11,4,1,12.717,0,2,2584,57,Go,false,77.000,1,9,Media Streaming
majodev/google-webfonts-helper,12942,47,23,12,1,3.632,0,196,4143,9,TypeScript,false,40.000,0,0,Miscellaneous
Depado/goploader,300,0,0,0,0,0.000,44,1,3808,12,JavaScript,false,50.000,2,22,File Transfer
pldubouilh/gossa,1079,4,1,1,0,3.707,5,279,2783,15,Go,false,12.000,0,0,File Transfer
gotenberg/gotenberg,11884,274,137,64,5,23.056,0,1,2955,74,Go,false,100.000,4,79,Document Management
gotify/server,14898,129,54,24,4,8.659,0,6,3022,46,Go,false,100.000,3,37,Communication
gramps-project/gramps-web-api,203,12,4,1,0,59.113,1,1,2081,34,Python,false,66.000,3,49,Genealogy
graphhopper/graphhopper,6416,46,18,7,0,7.170,3,0,5180,124,Java,false,85.000,7,51,Maps and Global Positioning System (GPS)
exogee-technology/graphweaver,549,1,1,1,0,1.821,1,13,1343,21,TypeScript,false,40.000,3,58,Software Development
goniszewski/grimoire,2790,31,17,10,2,11.111,0,330,1038,12,TypeScript,false,35.000,0,0,Bookmarks and Link Sharing
gristlabs/grist-core,10994,201,77,39,2,18.283,0,0,2165,141,TypeScript,false,100.000,18,101,Office Suites
grocy/grocy,8988,120,57,34,5,13.351,0,1,3297,89,JavaScript,false,100.000,1,18,Resource Planning
Intermesh/groupoffice,261,6,3,2,1,22.989,0,1,2970,20,PHP,false,72.000,4,203,Groupware
JeromeDevome/GRR,101,4,2,1,0,39.604,4,5,3929,23,PHP,false,48.000,2,14,"Money, Budgeting & Management"
apache/guacamole-server,3798,47,19,9,3,12.375,0,2,3687,79,C,false,85.000,8,38,Remote Access
HabitRPG/habitica,13850,119,62,27,1,8.592,0,15,5071,953,JavaScript,false,80.000,4,25,Miscellaneous
halo-dev/halo,38373,309,185,118,10,8.053,0,1,2957,147,Java,false,100.000,8,45,Software Development
TheNickOfTime/handbrake-web,753,17,6,3,0,22.576,1,123,704,1,TypeScript,false,21.000,0,0,Automation
haraka/Haraka,5564,21,9,7,0,3.774,1,23,5525,182,JavaScript,false,37.000,2,7,Communication
goharbor/harbor,28350,557,126,49,2,19.647,0,0,3740,372,Go,false,100.000,9,18,File Transfer
hasura/graphql-engine,31960,59,34,15,5,1.846,0,1,2869,567,TypeScript,false,96.000,5,20,Software Development
importantimport/hatsu,245,7,3,3,1,28.571,0,133,1012,7,Rust,false,22.000,0,0,Communication
havenweb/haven,771,12,3,2,0,15.564,3,1,1923,8,Ruby,false,58.000,1,4,Blogging Platforms
rembo10/headphones,3745,15,6,6,0,4.005,1,328,5454,128,Python,false,21.000,0,0,Media Management
healthchecks/healthchecks,9987,86,43,22,3,8.611,0,1,3957,101,Python,false,96.000,1,15,Automation
hedgedoc/hedgedoc,7119,101,49,28,2,14.187,0,2,2586,160,TypeScript,false,92.000,3,10,Note-taking & Editors
linuxserver/Heimdall,9133,71,36,20,1,7.774,0,165,3011,84,PHP,false,50.000,0,0,Personal Dashboards
HemmeligOrg/Hemmelig.app,1192,31,14,5,0,26.007,2,33,1777,38,TypeScript,false,31.000,0,0,Pastebins
heyform/heyform,8695,58,27,11,0,6.671,1,40,767,26,TypeScript,false,36.000,0,0,Polls and Events
HiEventsDev/hi.events,3682,75,26,11,1,20.369,0,4,915,48,PHP,false,76.000,9,18,Booking and Scheduling
ashwin-pc/hiccup,191,3,2,2,0,15.707,2,259,2134,2,TypeScript,false,12.000,0,0,Personal Dashboards
pascalebeier/hitkeep,44,6,2,2,0,136.364,1,1,168,2,Go,false,62.000,2,41,Analytics
hitobito/hitobito,465,2,0,0,0,4.301,20,0,4652,67,Ruby,false,64.000,9,109,Polls and Events
martinhrvn/hive-pal,23,4,2,0,0,173.913,8,2,505,13,TypeScript,false,57.000,12,270,Community-Supported Agriculture (CSA)
