repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,liveness,unique-contributors,new-commits-last-30d,tag
LearningCircuit/local-deep-research,4381,207,92,52,0,47.249,1,0,440,42,Python,false,100.000,8,408,Generative Artificial Intelligence (GenAI)
mudler/LocalAI,45838,1518,606,311,32,33.117,0,0,1134,196,Go,false,100.000,23,286,Generative Artificial Intelligence (GenAI)
Lessify/localess,71,1,1,0,0,14.085,11,0,1450,1,TypeScript,false,65.000,1,31,Content Management Systems (CMS)
loomio/loomio,2538,8,2,1,0,3.152,1,1,5283,83,Ruby,false,62.000,2,183,Communication
lowdefy/lowdefy,2956,11,6,2,0,3.721,1,5,2032,24,JavaScript,false,61.000,6,114,Software Development
luanti-org/luanti,12813,359,93,35,6,28.018,0,4,5375,827,C++,false,100.000,15,43,Games
hargata/lubelog,2508,121,54,43,2,48.246,0,9,846,15,JavaScript,false,90.000,1,32,Miscellaneous
luraproject/lura,6763,18,10,3,1,2.662,0,3,3459,43,Go,false,63.000,3,7,Software Development
LycheeOrg/Lychee,4144,44,15,6,1,10.618,0,1,2818,133,PHP,false,85.000,5,52,Photo Galleries
lms-community/slimserver,1688,23,12,4,1,13.626,0,0,5100,95,Perl,false,95.000,4,38,Media Streaming
foxcpp/maddy,5943,52,28,10,3,8.750,0,1,3456,73,Go,false,86.000,4,14,Communication
hywax/mafl,695,15,11,5,2,21.583,0,182,854,11,TypeScript,false,31.000,0,0,Personal Dashboards
magento/magento2,12094,34,17,7,0,2.811,1,4,5260,3060,PHP,false,65.000,28,176,E-commerce
s1t5/mail-archiver,1824,81,34,18,2,44.408,0,1,354,8,C#,false,96.000,1,13,Archiving and Digital Preservation (DP)
mail-in-a-box/mailinabox,15277,52,24,13,0,3.404,2,5,4630,224,Python,false,62.000,5,6,Communication
mailcow/mailcow-dockerized,12627,231,116,53,9,18.294,0,26,3424,391,JavaScript,false,74.000,1,3,Communication
Mailu/Mailu,7174,61,29,10,6,8.503,0,37,3758,200,Python,false,48.000,0,0,Communication
mainsail-crew/mainsail,2123,16,8,6,2,7.537,0,6,2260,136,Vue,false,63.000,2,9,Manufacturing
krateng/maloja,1699,35,13,6,0,20.600,1,342,2706,27,Python,false,25.000,0,0,Media Streaming
intri-in/manage-my-damn-life-nextjs,549,15,4,4,0,27.322,1,35,1110,8,JavaScript,false,22.000,0,0,Calendar & Contacts
managemeals/manage-meals-web,59,3,2,1,0,50.847,5,49,803,1,Svelte,false,18.000,0,0,Recipe Management
mnfst/manifest,5676,1607,1400,911,33,283.122,0,1,1306,28,TypeScript,false,100.000,9,611,Software Development
